1.A.	SYSTEMS, EQUIPMENT AND COMPONENTS
1.C.7.e.2.	Polysilazanes;
1.C.7.e.3.	Polycarbosilazanes;

1.C.7.Technical Note.	For the purposes of 1.C.7., 'precursor materials' are special purpose polymeric or metallo-organic materials used for the "production" of silicon carbide, silicon nitride, or ceramics with silicon, carbon and nitrogen. 
1.C.7.f.	Not used since 2016
1.C.7.f.N.B.	For items previously specified by 1.C.7.f. see 1.C.7.c.1.a.
1.C.8.	Non-fluorinated polymeric substances as follows:
1.C.8.a.	Imides as follows:
1.C.8.a.1.	Bismaleimides; 
1.C.8.a.2.	Aromatic polyamide-imides (PAI) having a 'glass transition temperature (Tg)' exceeding 563 K (290°C);
1.C.8.a.3.	Aromatic polyimides having a 'glass transition temperature (Tg)' exceeding 505 K (232°C);
1.C.8.a.4.	Aromatic polyetherimides having a 'glass transition temperature (Tg)' exceeding 563 K (290° C);
1.C.8.a.Note.	1.C.8.a. applies to the substances in liquid or solid "fusible" form, including resin, powder, pellet, film, sheet, tape, or ribbon.
1.C.8.a.N.B.	For non-"fusible" aromatic polyimides in film, sheet, tape, or ribbon form, see 1.A.3.
1.C.8.b.	Not used since 2014
1.C.8.c.	Not used since 2006
1.C.8.d.	Polyarylene ketones;
1.C.8.e.	Polyarylene sulphides, where the arylene group is biphenylene, triphenylene or combinations thereof;
1.C.8.f.	Polybiphenylenethersulphone having a 'glass transition temperature (Tg)' exceeding 563 K (290° C).

1.C.8.Technical Notes.1.	The 'glass transition temperature (Tg)' for 1.C.8.a.2. thermoplastic materials, 1.C.8.a.4. materials and 1.C.8.f. materials is determined using the method described in ISO 11357-2 (1999) or national equivalents.
1.C.8.Technical Notes.2.	The 'glass transition temperature (Tg)' for 1.C.8.a.2. thermosetting materials and 1.C.8.a.3. materials is determined using the 3-point bend method described in ASTM D 7028-07 or equivalent national standard.  The test is to be performed using a dry test specimen which has attained a minimum of 90% degree of cure as specified by ASTM E 2160-04 or equivalent national standard, and was cured using the combination of standard- and post-cure processes that yield the highest Tg.
1.C.9.	Unprocessed fluorinated compounds as follows:
1.C.9.a.	Not used since 2015
1.C.9.b.	Fluorinated polyimides containing 10% by weight or more of combined fluorine;
1.C.9.c.	Fluorinated phosphazene elastomers containing 30% by weight or more of combined fluorine.
1.C.10.	"Fibrous or filamentary materials" as follows:

1.C.10.Technical Notes.1.	For the purpose of calculating "specific tensile strength", "specific modulus" or specific weight of "fibrous or filamentary materials" in 1.C.10.a., 1.C.10.b., 1.C.10.c. or 1.C.10.e.1.b., the tensile strength and modulus should be determined by using Method A described in ISO 10618 (2004) or national equivalents.
1.C.10.Technical Notes.2.	Assessing the "specific tensile strength", "specific modulus" or specific weight of non-unidirectional "fibrous or filamentary materials" (e.g., fabrics, random mats or braids) in 1.C.10. is to be based on the mechanical properties of the constituent unidirectional monofilaments (e.g., monofilaments, yarns, rovings or tows) prior to processing into the non-unidirectional "fibrous or filamentary materials".
1.C.10.a.	Organic "fibrous or filamentary materials", having all of the following:
1.C.10.a.1.	"Specific modulus" exceeding 12.7 x 106 m; and
1.C.10.a.2.	"Specific tensile strength" exceeding 23.5  x 104 m;
1.C.10.a.Note.	1.C.10.a. does not apply to polyethylene.
1.C.10.b.	Carbon "fibrous or filamentary materials", having all of the following:
1.C.10.b.1.	"Specific modulus" exceeding 14.65 x 106 m; and
1.C.10.b.2.	"Specific tensile strength" exceeding 26.82 x 104 m;
1.C.10.b.Note.	1.C.10.b. does not apply to:
1.C.10.b.Note.a.	"Fibrous or filamentary materials", for the repair of "civil aircraft" structures or laminates, having all of the following:
1.C.10.b.Note.a.1.	An area not exceeding 1 m2;
1.C.10.b.Note.a.2.	A length not exceeding 2.5 m; and
1.C.10.b.Note.a.3.	A width exceeding 15 mm.
1.C.10.b.Note.b.	Mechanically chopped, milled or cut carbon "fibrous or filamentary materials" 25.0 mm or less in length.
1.C.10.c.	Inorganic "fibrous or filamentary materials", having all of the following:
1.C.10.c.1.	"Specific modulus" exceeding 2.54 x 106 m; and
1.C.10.c.2.	Melting, softening, decomposition or sublimation point exceeding 1,922 K (1,649°C) in an inert environment;
1.C.10.c.Note.	1.C.10.c. does not apply to:
1.C.10.c.Note.a.	Discontinuous, multiphase, polycrystalline alumina fibres in chopped fibre or random mat form, containing 3% by weight or more silica, with a "specific modulus" of less than 10 x 106 m;
1.C.10.c.Note.b.	Molybdenum and molybdenum alloy fibres;
1.C.10.c.Note.c.	Boron fibres;
1.C.10.c.Note.d.	Discontinuous ceramic fibres with a melting, softening, decomposition or sublimation point lower than 2,043 K (1,770°C) in an inert environment.
1.C.10.d.	"Fibrous or filamentary materials", having any of the following:
1.C.10.d.1.	Composed of any of the following: 
1.C.10.d.1.a.	Polyetherimides specified by 1.C.8.a.; or
1.C.10.d.1.b.	Materials specified by 1.C.8.d. to 1.C.8.f.; or
1.C.10.d.2.	Composed of materials specified by 1.C.10.d.1.a. or 1.C.10.d.1.b. and 'commingled' with other fibres specified by 1.C.10.a., 1.C.10.b. or 1.C.10.c.;

1.C.10.d.2.Technical Note.	'Commingled' is filament to filament blending of thermoplastic fibres and reinforcement fibres in order to produce a fibre reinforcement "matrix" mix in total fibre form.
1.C.10.e.	Fully or partially resin-impregnated or pitch-impregnated "fibrous or filamentary materials" (prepregs), metal or carbon-coated "fibrous or filamentary materials" (preforms) or 'carbon fibre preforms', having all of the following:
1.C.10.e.1.	Having any of the following:
1.C.10.e.1.a.	Inorganic "fibrous or filamentary materials" specified by 1.C.10.c.; or
1.C.10.e.1.b.	Organic or carbon "fibrous or filamentary materials", having all of the following:
1.C.10.e.1.b.1.	"Specific modulus" exceeding 10.15 x 106 m; and
1.C.10.e.1.b.2.	"Specific tensile strength" exceeding 17.7 x 104 m; and
1.C.10.e.2.	Having any of the following:
1.C.10.e.2.a.	Resin or pitch, specified by 1.C.8. or 1.C.9.b.;
1.C.10.e.2.b.	'Dynamic Mechanical Analysis glass transition temperature (DMA Tg)' equal to or exceeding 453 K (180C) and having a phenolic resin; or
1.C.10.e.2.c.	'Dynamic Mechanical Analysis glass transition temperature (DMA Tg)' equal to or exceeding 505 K (232C) and having a resin or pitch, not specified by 1.C.8. or 1.C.9.b., and not being a phenolic resin;
Note 1.	Metal or carbon-coated "fibrous or filamentary materials" (preforms) or 'carbon fibre preforms', not impregnated with resin or pitch, are specified by "fibrous or filamentary materials" in 1.C.10.a., 1.C.10.b. or 1.C.10.c.
Note 2.	1.C.10.e. does not apply to:
Note 2.a.	Epoxy resin "matrix" impregnated carbon "fibrous or filamentary materials" (prepregs) for the repair of "civil aircraft" structures or laminates, having all of the following;
Note 2.a.1.	An area not exceeding 1 m2;
Note 2.a.2.	A length not exceeding 2.5 m; and
Note 2.a.3.	A width exceeding 15 mm;
Note 2.b.	Fully or partially resin-impregnated or pitch-impregnated mechanically chopped, milled or cut carbon "fibrous or filamentary materials" 25.0 mm or less in length when using a resin or pitch other than those specified by 1.C.8. or 1.C.9.b.

Technical Notes.1.	'Carbon fibre preforms' are an ordered arrangement of uncoated or coated fibres intended to constitute a framework of a part before the "matrix" is introduced to form a "composite".
Technical Notes.2.	The 'Dynamic Mechanical Analysis glass transition temperature (DMA Tg)' for materials specified by 1.C.10.e. is determined using the method described in ASTM D 7028-07, or equivalent national standard, on a dry test specimen.  In the case of thermoset materials, degree of cure of a dry test specimen shall be a minimum of 90% as defined by ASTM E 2160-04 or equivalent national standard.
1.C.11.	Metals and compounds, as follows:
1.C.11.a.	Metals in particle sizes of less than 60 µm whether spherical, atomised, spheroidal, flaked or ground, manufactured from material consisting of 99% or more of zirconium, magnesium and alloys thereof;
1.C.11.a.Note.	The metals or alloys specified by 1.C.11.a. also refer to metals or alloys encapsulated in aluminium, magnesium, zirconium or beryllium.

Technical Note.	The natural content of hafnium in the zirconium (typically 2% to 7%) is counted with the zirconium.
1.C.11.b.	Boron or boron alloys, with a particle size of 60 µm or less, as follows:
1.C.11.b.1.	Boron with a purity of 85% by weight or more;
1.C.11.b.2.	Boron alloys with a boron content of 85% by weight or more;
1.C.11.b.Note.	The metals or alloys specified by 1.C.11.b. also refer to metals or alloys encapsulated in aluminium, magnesium, zirconium or beryllium.
1.C.11.c.	Guanidine nitrate (CAS 506-93-4);
1.C.11.d.	Nitroguanidine (NQ) (CAS 556-88-7).
N.B.	See ML8.c.5.b. for metal powders mixed with other substances to form a mixture formulated for military purposes.
1.C.12.	Materials as follows:

1.C.12.Technical Note.	These materials are typically used for nuclear heat sources.
1.C.12.a.	Plutonium in any form with a plutonium isotopic assay of plutonium-238 of more than 50% by weight;
1.C.12.a.Note.	1.C.12.a. does not apply to:
1.C.12.a.Note.a.	Shipments with a plutonium content of 1 g or less;
1.C.12.a.Note.b.	Shipments of 3 'effective grams' or less when contained in a sensing component in instruments.

1.C.12.a.Technical Note.	'Effective grams' for plutonium isotope is defined as the isotope weight in grams.
1.C.12.b.	'Previously separated' neptunium-237 in any form.
1.C.12.b.Note.	1.C.12.b. does not apply to shipments with a neptunium-237 content of 1 g or less.

1.C.12.b.Technical Note.	'Previously separated' is the application of any process intended to increase the concentration of the controlled isotope.
1.D.	SOFTWARE
1.D.1.	"Software" specially designed or modified for the "development", "production" or "use" of equipment specified by 1.B.
1.D.2.	"Software" for the "development" of organic "matrix", metal "matrix" or carbon "matrix" laminates or "composites".
1.D.3.	"Software" specially designed or modified to enable equipment to perform the functions of equipment specified by 1.A.4.c. or 1.A.4.d.
1.E.	TECHNOLOGY
1.E.1.	"Technology" according to the General Technology Note for the "development" or "production" of equipment or materials specified by 1.A.2. to 1.A.5., 1.A.6.b., 1.A.7., 1.B. or 1.C.
1.E.2.	Other "technology" as follows:
1.E.2.a.	"Technology" for the "development" or "production" of polybenzothiazoles or polybenzoxazoles;
1.E.2.b.	"Technology" for the "development" or "production" of fluoroelastomer compounds containing at least one vinylether monomer;
1.E.2.c.	"Technology" for the design or "production" of the following ceramic powders or non-"composite" ceramic materials:
1.E.2.c.1.	Ceramic powders having all of the following:
1.E.2.c.1.a.	Any of the following compositions:
1.E.2.c.1.a.1.	Single or complex oxides of zirconium and complex oxides of silicon or aluminium;
1.E.2.c.1.a.2.	Single nitrides of boron (cubic crystalline forms);
1.E.2.c.1.a.3.	Single or complex carbides of silicon or boron; or
1.E.2.c.1.a.4.	Single or complex nitrides of silicon;
1.E.2.c.1.b.	Any of the following total metallic impurities (excluding intentional additions):
1.E.2.c.1.b.1.	Less than 1,000 ppm for single oxides or carbides; or
1.E.2.c.1.b.2.	Less than 5,000 ppm for complex compounds or single nitrides; and
1.E.2.c.1.c.	Being any of the following:
1.E.2.c.1.c.1.	Zirconia (CAS 1314-23-4) with an average particle size equal to or less than 1 µm and no more than 10% of the particles larger than 5 µm; or
1.E.2.c.1.c.2.	Other ceramic powders with an average particle size equal to or less than 5 µm and no more than 10% of the particles larger than 10 µm; 
1.E.2.c.2.	Non-"composite" ceramic materials composed of the materials specified by 1.E.2.c.1.;
1.E.2.c.2.Note.	1.E.2.c.2. does not apply to "technology" for abrasives.
1.E.2.d.	Not used since 2014
1.E.2.e.	"Technology" for the installation, maintenance or repair of materials specified by 1.C.1.;
1.E.2.f.	"Technology" for the repair of "composite" structures, laminates or materials specified by 1.A.2. or 1.C.7.c.;
1.E.2.f.Note.	1.E.2.f. does not apply to "technology" for the repair of "civil aircraft" structures using carbon "fibrous or filamentary materials" and epoxy resins, contained in "aircraft" manufacturers' manuals.
1.E.2.g.	"Libraries" specially designed or modified to enable equipment to perform the functions of equipment specified by 1.A.4.c. or 1.A.4.d.

1.ANNEX.Explosives.	List - "explosives"
1.ANNEX.Explosives.1.	ADNBF (aminodinitrobenzofuroxan or 7-amino-4,6-dinitrobenzofurazane-1-oxide) (CAS 97096-78-1);
1.ANNEX.Explosives.2.	BNCP (cis-bis (5-nitrotetrazolato) tetra amine-cobalt (III) perchlorate)
1.ANNEX.Explosives.2.	(CAS 117412-28-9);
1.ANNEX.Explosives.3.	CL-14 (diamino dinitrobenzofuroxan or 5,7-diamino-4,6-dinitrobenzofurazane-1-oxide ) (CAS 117907-74-1);
1.ANNEX.Explosives.4.	CL-20 (HNIW or Hexanitrohexaazaisowurtzitane) (CAS 135285-90-4);
1.ANNEX.Explosives.4.	chlathrates of CL-20;
1.ANNEX.Explosives.5.	CP (2-(5-cyanotetrazolato) penta amine-cobalt (III) perchlorate) (CAS 70247-32-4);
1.ANNEX.Explosives.6.	DADE (1,1-diamino-2,2-dinitroethylene, FOX-7) (CAS 145250-81-3);
1.ANNEX.Explosives.7.	DATB (diaminotrinitrobenzene) (CAS 1630-08-6);
1.ANNEX.Explosives.8.	DDFP (1,4-dinitrodifurazanopiperazine);
1.ANNEX.Explosives.9.	DDPO (2,6-diamino-3,5-dinitropyrazine-1-oxide, PZO) (CAS 194486-77-6);
1.ANNEX.Explosives.10.	DIPAM (3,3-diamino-2,2,4,4,6,6-hexanitrobiphenyl or dipicramide)
1.ANNEX.Explosives.10.	(CAS 17215-44-0);
1.ANNEX.Explosives.11.	DNGU (DINGU or dinitroglycoluril) (CAS 55510-04-8);
1.ANNEX.Explosives.12.	Furazans as follows:
1.ANNEX.Explosives.12.a.	DAAOF (diaminoazoxyfurazan);
1.ANNEX.Explosives.12.b.	DAAzF (diaminoazofurazan) (CAS 78644-90-3);
1.ANNEX.Explosives.13.	HMX and derivatives, as follows:
1.ANNEX.Explosives.13.a.	HMX (Cyclotetramethylenetetranitramine, octahydro-1,3,5,7-tetranitro-1,3,5,7-tetrazine, 1,3,5,7-tetranitro-1,3,5,7-tetraza-cyclooctane, octogen or octogene) (CAS 2691-41-0);
1.ANNEX.Explosives.13.b.	difluoroaminated analogs of HMX;
1.ANNEX.Explosives.13.c.	K-55 (2,4,6,8-tetranitro-2,4,6,8-tetraazabicyclo [3,3,0]-octanone-3, tetranitrosemiglycouril or keto-bicyclic HMX) (CAS 130256-72-3);
1.ANNEX.Explosives.14.	HNAD (hexanitroadamantane) (CAS 143850-71-9);
1.ANNEX.Explosives.15.	HNS (hexanitrostilbene) (CAS 20062-22-0);
1.ANNEX.Explosives.16.	Imidazoles as follows:
1.ANNEX.Explosives.16.a.	BNNII (Octahydro-2,5-bis(nitroimino)imidazo [4,5-d]imidazole);
1.ANNEX.Explosives.16.b.	DNI (2,4-dinitroimidazole) (CAS 5213-49-0); 
1.ANNEX.Explosives.16.c.	FDIA (1-fluoro-2,4-dinitroimidazole); 
1.ANNEX.Explosives.16.d.	NTDNIA (N-(2-nitrotriazolo)-2,4-dinitroimidazole);
1.ANNEX.Explosives.16.e.	PTIA (1-picryl-2,4,5-trinitroimidazole);
1.ANNEX.Explosives.17.	NTNMH (1-(2-nitrotriazolo)-2-dinitromethylene hydrazine);
1.ANNEX.Explosives.18.	NTO (ONTA or 3-nitro-1,2,4-triazol-5-one) (CAS 932-64-9);
1.ANNEX.Explosives.19.	Polynitrocubanes with more than four nitro groups;
1.ANNEX.Explosives.20.	PYX (2,6-Bis(picrylamino)-3,5-dinitropyridine) (CAS 38082-89-2);
1.ANNEX.Explosives.21.	RDX and derivatives, as follows:
1.ANNEX.Explosives.21.a.	RDX (cyclotrimethylenetrinitramine, cyclonite, T4, hexahydro-1,3,5-trinitro-1,3,5-triazine, 1,3,5-trinitro-1,3,5-triaza-cyclohexane, hexogen or hexogene) (CAS 121-82-4); 
1.ANNEX.Explosives.21.b.	Keto-RDX (K-6 or 2,4,6-trinitro-2,4,6-triazacyclohexanone)
1.ANNEX.Explosives.21.b.	(CAS 115029-35-1); 
1.ANNEX.Explosives.22.	TAGN (triaminoguanidinenitrate) (CAS 4000-16-2);
1.ANNEX.Explosives.23.	TATB (triaminotrinitrobenzene) (CAS 3058-38-6);
1.ANNEX.Explosives.24.	TEDDZ (3,3,7,7-tetrabis(difluoroamine) octahydro-1,5-dinitro-1,5-diazocine);
1.ANNEX.Explosives.	List - "explosives" cont.
1.ANNEX.Explosives.25.	Tetrazoles as follows:
1.ANNEX.Explosives.25.a.	NTAT (nitrotriazol aminotetrazole);
1.ANNEX.Explosives.25.b.	NTNT (1-N-(2-nitrotriazolo)-4-nitrotetrazole);
1.ANNEX.Explosives.26.	Tetryl (trinitrophenylmethylnitramine) (CAS 479-45-8);
1.ANNEX.Explosives.27.	TNAD (1,4,5,8-tetranitro-1,4,5,8-tetraazadecalin) (CAS 135877-16-6);
1.ANNEX.Explosives.28.	TNAZ (1,3,3-trinitroazetidine) (CAS 97645-24-4);
1.ANNEX.Explosives.29.	TNGU (SORGUYL or tetranitroglycoluril) (CAS 55510-03-7);
1.ANNEX.Explosives.30.	TNP (1,4,5,8-tetranitro-pyridazino[4,5-d]pyridazine) (CAS 229176-04-9);
1.ANNEX.Explosives.31.	Triazines as follows:
1.ANNEX.Explosives.31.a.	DNAM (2-oxy-4,6-dinitroamino-s-triazine) (CAS 19899-80-0);
1.ANNEX.Explosives.31.b.	NNHT (2-nitroimino-5-nitro-hexahydro-1,3,5-triazine) (CAS 130400-13-4);
1.ANNEX.Explosives.32.	Triazoles as follows:
1.ANNEX.Explosives.32.a.	5-azido-2-nitrotriazole;
1.ANNEX.Explosives.32.b.	ADHTDN (4-amino-3,5-dihydrazino-1,2,4-triazole dinitramide)
1.ANNEX.Explosives.32.b.	(CAS 1614-08-0);
1.ANNEX.Explosives.32.c.	ADNT (1-amino-3,5-dinitro-1,2,4-triazole);
1.ANNEX.Explosives.32.d.	BDNTA ((bis-dinitrotriazole)amine);
1.ANNEX.Explosives.32.e.	DBT (3,3-dinitro-5,5-bi-1,2,4-triazole) (CAS 30003-46-4);
1.ANNEX.Explosives.32.f.	DNBT (dinitrobistriazole) (CAS 70890-46-9);
1.ANNEX.Explosives.32.g.	Not used since 2011
1.ANNEX.Explosives.32.h.	NTDNT (1-N-(2-nitrotriazolo) 3,5-dinitrotriazole);
1.ANNEX.Explosives.32.i.	PDNT (1-picryl-3,5-dinitrotriazole);
1.ANNEX.Explosives.32.j.	TACOT (tetranitrobenzotriazolobenzotriazole) (CAS 25243-36-1);
1.ANNEX.Explosives.33.	"Explosives" not listed elsewhere in this list having a detonation velocity exceeding 8,700 m/s, at maximum density, or a detonation pressure exceeding 34 GPa (340 kbar);
1.ANNEX.Explosives.34.	Not used since 2013
1.ANNEX.Explosives.35.	Nitrocellulose (containing more than 12.5% nitrogen) (CAS 9004-70-0);
1.ANNEX.Explosives.36.	Nitroglycol (CAS 628-96-6);
1.ANNEX.Explosives.37.	Pentaerythritol tetranitrate (PETN) (CAS 78-11-5);
1.ANNEX.Explosives.38.	Picryl chloride (CAS 88-88-0);
1.ANNEX.Explosives.39.	2,4,6-Trinitrotoluene (TNT) (CAS 118-96-7);
1.ANNEX.Explosives.40.	Nitroglycerine (NG) (CAS 55-63-0);
1.ANNEX.Explosives.41.	Triacetone Triperoxide (TATP) (CAS 17088-37-8);
1.ANNEX.Explosives.42.	Guanidine nitrate (CAS 506-93-4);
1.ANNEX.Explosives.43.	Nitroguanidine (NQ) (CAS 556-88-7);
1.ANNEX.Explosives.44.	DNAN (2,4-dinitroanisole) (CAS 119-27-7);
1.ANNEX.Explosives.45.	TEX (4,10-Dinitro-2,6,8,12-tetraoxa-4,10-diazaisowurtzitane);
1.ANNEX.Explosives.46.	GUDN (Guanylurea dinitramide) FOX-12 (CAS 217464-38-5);
1.ANNEX.Explosives.47.	Tetrazines as follows:
1.ANNEX.Explosives.47.a.	BTAT (Bis(2,2,2-trinitroethyl)-3,6-diaminotetrazine);
1.ANNEX.Explosives.47.b.	LAX-112 (3,6-diamino-1,2,4,5-tetrazine-1,4-dioxide);
1.ANNEX.Explosives.48.	Energetic ionic materials melting between 343 K (70°C) and 373 K (100°C) and with detonation velocity exceeding 6,800 m/s or detonation pressure exceeding 18 GPa (180 kbar);
1.ANNEX.Explosives.49.	BTNEN (Bis(2,2,2-trinitroethyl)-nitramine) (CAS 19836-28-3);
1.ANNEX.Explosives.50.	FTDO (5,6-(3',4'-furazano)- 1,2,3,4-tetrazine-1,3-dioxide).
