2.	MATERIALS PROCESSING
2.E.3.f.Technical Note.b.4.	Cathodic Arc Deposition employs a consumable cathode of the material which forms the coating and has an arc discharge established on the surface by a momentary contact of a ground trigger.  Controlled motion of arcing erodes the cathode surface creating a highly ionized plasma.  The anode can be either a cone attached to the periphery of the cathode, through an insulator, or the chamber.  Substrate biasing is used for non line-of-sight deposition;
2.E.3.f.Technical Note.b.4.N.B.	This definition does not include random cathodic arc deposition with non-biased substrates.
2.E.3.f.Technical Note.b.5.	Ion Plating is a special modification of a general TE-PVD process in which a plasma or an ion source is used to ionize the species to be deposited, and a negative bias is applied to the substrate in order to facilitate the extraction of the species from the plasma.  The introduction of reactive species, evaporation of solids within the process chamber, and the use of monitors to provide in-process measurement of optical characteristics and thicknesses of coatings are ordinary modifications of the process. 
2.E.3.f.Technical Note.c.	Pack Cementation is a surface modification coating or overlay coating process wherein a substrate is immersed in a powder mixture (a pack), that consists of:
2.E.3.f.Technical Note.c.1.	The metallic powders that are to be deposited (usually aluminium, chromium, silicon or combinations thereof);
2.E.3.f.Technical Note.c.2.	An activator (normally a halide salt); and
2.E.3.f.Technical Note.c.3.	An inert powder, most frequently alumina.
2.E.3.f.Technical Note.c.	The substrate and powder mixture is contained within a retort which is heated to between 1,030 K (757°C) and 1,375 K (1,102°C) for sufficient time to deposit the coating.
2.E.3.f.Technical Note.d.	Plasma Spraying is an overlay coating process wherein a gun (spray torch) which produces and controls a plasma accepts powder or wire coating materials, melts them and propels them towards a substrate, whereon an integrally bonded coating is formed.  Plasma spraying constitutes either low pressure plasma spraying or high velocity plasma spraying.
2.E.3.f.Technical Note.d.N.B.1	Low pressure means less than ambient atmospheric pressure.
2.E.3.f.Technical Note.d.N.B.2	High velocity refers to nozzle-exit gas velocity exceeding 750 m/s calculated at 293 K (20°C) at 0.1 MPa.


2.E.3.f.Technical Note.e.	Slurry Deposition is a surface modification coating or overlay coating process wherein a metallic or ceramic powder with an organic binder is suspended in a liquid and is applied to a substrate by either spraying, dipping or painting, subsequent air or oven drying, and heat treatment to obtain the desired coating.
2.E.3.f.Technical Note.f.	Sputter Deposition is an overlay coating process based on a momentum transfer phenomenon, wherein positive ions are accelerated by an electric field towards the surface of a target (coating material).  The kinetic energy of the impacting ions is sufficient to cause target surface atoms to be released and deposited on an appropriately positioned substrate.
2.E.3.f.Technical Note.f.N.B.1	The Table refers only to triode, magnetron or reactive sputter deposition which is used to increase adhesion of the coating and rate of deposition and to radio frequency (RF) augmented sputter deposition used to permit vaporisation of non-metallic coating materials.
2.E.3.f.Technical Note.f.N.B.2	Low-energy ion beams (less than 5 keV) can be used to activate the deposition.
2.E.3.f.Technical Note.g.	Ion Implantation is a surface modification coating process in which the element to be alloyed is ionized, accelerated through a potential gradient and implanted into the surface region of the substrate.  This includes processes in which ion implantation is performed simultaneously with electron beam physical vapour deposition or sputter deposition.

2.E.3.f.STATEMENT OF UNDERSTANDING.	It is understood that the following technical information, accompanying the table of deposition techniques, is for use as appropriate.
2.E.3.f.STATEMENT OF UNDERSTANDING.1.	Technical information for pretreatments of the substrates listed in the Table, as follows:
2.E.3.f.STATEMENT OF UNDERSTANDING.1.a.	Chemical stripping and cleaning bath cycle parameters, as follows:
2.E.3.f.STATEMENT OF UNDERSTANDING.1.a.1.	Bath composition
2.E.3.f.STATEMENT OF UNDERSTANDING.1.a.1.a.	For the removal of old or defective coatings, corrosion product or foreign deposits;
2.E.3.f.STATEMENT OF UNDERSTANDING.1.a.1.b.	For preparation of virgin substrates;
2.E.3.f.STATEMENT OF UNDERSTANDING.1.a.2.	Time in bath;
2.E.3.f.STATEMENT OF UNDERSTANDING.1.a.3.	Temperature of bath;
2.E.3.f.STATEMENT OF UNDERSTANDING.1.a.4.	Number and sequences of wash cycles;
2.E.3.f.STATEMENT OF UNDERSTANDING.1.b.	Visual and macroscopic criteria for acceptance of the cleaned part;
2.E.3.f.STATEMENT OF UNDERSTANDING.1.c.	Heat treatment cycle parameters, as follows:
2.E.3.f.STATEMENT OF UNDERSTANDING.1.c.1.	Atmosphere parameters, as follows:
2.E.3.f.STATEMENT OF UNDERSTANDING.1.c.1.a.	Composition of the atmosphere;
2.E.3.f.STATEMENT OF UNDERSTANDING.1.c.1.b.	Pressure of the atmosphere;
2.E.3.f.STATEMENT OF UNDERSTANDING.1.c.2.	Temperature for heat treatment;
2.E.3.f.STATEMENT OF UNDERSTANDING.1.c.3.	Time of heat treatment;
2.E.3.f.STATEMENT OF UNDERSTANDING.1.d.	Substrate surface preparation parameters, as follows:
2.E.3.f.STATEMENT OF UNDERSTANDING.1.d.1.	Grit blasting parameters, as follows:
2.E.3.f.STATEMENT OF UNDERSTANDING.1.d.1.a.	Grit composition;
2.E.3.f.STATEMENT OF UNDERSTANDING.1.d.1.b.	Grit size and shape;
2.E.3.f.STATEMENT OF UNDERSTANDING.1.d.1.c.	Grit velocity;
2.E.3.f.STATEMENT OF UNDERSTANDING.1.d.2.	Time and sequence of cleaning cycle after grit blast;
2.E.3.f.STATEMENT OF UNDERSTANDING.1.d.3.	Surface finish parameters;
2.E.3.f.STATEMENT OF UNDERSTANDING.1.d.4.	Application of binders to promote adhesion;
2.E.3.f.STATEMENT OF UNDERSTANDING.1.e.	Masking technique parameters, as follows:
2.E.3.f.STATEMENT OF UNDERSTANDING.1.e.1.	Material of mask;
2.E.3.f.STATEMENT OF UNDERSTANDING.1.e.2.	Location of mask;
2.E.3.f.STATEMENT OF UNDERSTANDING.2.	Technical information for in situ quality assurance techniques for evaluation of the coating processes listed in the Table, as follows:
2.E.3.f.STATEMENT OF UNDERSTANDING.2.a.	Atmosphere parameters, as follows:
2.E.3.f.STATEMENT OF UNDERSTANDING.2.a.1.	Composition of the atmosphere;
2.E.3.f.STATEMENT OF UNDERSTANDING.2.a.2.	Pressure of the atmosphere;
2.E.3.f.STATEMENT OF UNDERSTANDING.2.b.	Time parameters;
2.E.3.f.STATEMENT OF UNDERSTANDING.2.c.	Temperature parameters;
2.E.3.f.STATEMENT OF UNDERSTANDING.2.d.	Thickness parameters;
2.E.3.f.STATEMENT OF UNDERSTANDING.2.e.	Index of refraction parameters;
2.E.3.f.STATEMENT OF UNDERSTANDING.2.f.	Control of composition;
2.E.3.f.STATEMENT OF UNDERSTANDING.3.	Technical information for post deposition treatments of the coated substrates listed in the Table, as follows:
2.E.3.f.STATEMENT OF UNDERSTANDING.3.a.	Shot peening parameters, as follows:
2.E.3.f.STATEMENT OF UNDERSTANDING.3.a.1.	Shot composition;
2.E.3.f.STATEMENT OF UNDERSTANDING.3.a.2.	Shot size;
2.E.3.f.STATEMENT OF UNDERSTANDING.3.a.3.	Shot velocity;
2.E.3.f.STATEMENT OF UNDERSTANDING.3.b.	Post shot peening cleaning parameters;
2.E.3.f.STATEMENT OF UNDERSTANDING.3.c.	Heat treatment cycle parameters, as follows:
2.E.3.f.STATEMENT OF UNDERSTANDING.3.c.1.	Atmosphere parameters, as follows:
2.E.3.f.STATEMENT OF UNDERSTANDING.3.c.1.a.	Composition of the atmosphere;
2.E.3.f.STATEMENT OF UNDERSTANDING.3.c.1.b.	Pressure of the atmosphere;
2.E.3.f.STATEMENT OF UNDERSTANDING.3.c.2.	Time-temperature cycles;
2.E.3.f.STATEMENT OF UNDERSTANDING.3.d.	Post heat treatment visual and macroscopic criteria for acceptance of the coated substrates;
2.E.3.f.STATEMENT OF UNDERSTANDING.4.	Technical information for quality assurance techniques for the evaluation of the coated substrates listed in the Table, as follows:
2.E.3.f.STATEMENT OF UNDERSTANDING.4.a.	Statistical sampling criteria;
2.E.3.f.STATEMENT OF UNDERSTANDING.4.b.	Microscopic criteria for:
2.E.3.f.STATEMENT OF UNDERSTANDING.4.b.1.	Magnification;
2.E.3.f.STATEMENT OF UNDERSTANDING.4.b.2.	Coating thickness uniformity;
2.E.3.f.STATEMENT OF UNDERSTANDING.4.b.3.	Coating integrity;
2.E.3.f.STATEMENT OF UNDERSTANDING.4.b.4.	Coating composition;
2.E.3.f.STATEMENT OF UNDERSTANDING.4.b.5.	Coating and substrates bonding;
2.E.3.f.STATEMENT OF UNDERSTANDING.4.b.6.	Microstructural uniformity;
2.E.3.f.STATEMENT OF UNDERSTANDING.4.c.	Criteria for optical properties assessment (measured as a function of wavelength):
2.E.3.f.STATEMENT OF UNDERSTANDING.4.c.1.	Reflectance;
2.E.3.f.STATEMENT OF UNDERSTANDING.4.c.2.	Transmission;
2.E.3.f.STATEMENT OF UNDERSTANDING.4.c.3.	Absorption;
2.E.3.f.STATEMENT OF UNDERSTANDING.4.c.4.	Scatter;
2.E.3.f.STATEMENT OF UNDERSTANDING.5.	Technical information and parameters related to specific coating and surface modification processes listed in the Table, as follows:
2.E.3.f.STATEMENT OF UNDERSTANDING.5.a.	For Chemical Vapour Deposition (CVD):
2.E.3.f.STATEMENT OF UNDERSTANDING.5.a.1.	Coating source composition and formulation;
2.E.3.f.STATEMENT OF UNDERSTANDING.5.a.2.	Carrier gas composition;
2.E.3.f.STATEMENT OF UNDERSTANDING.5.a.3.	Substrate temperature;
2.E.3.f.STATEMENT OF UNDERSTANDING.5.a.4.	Time-temperature-pressure cycles;
2.E.3.f.STATEMENT OF UNDERSTANDING.5.a.5.	Gas control and part manipulation;
2.E.3.f.STATEMENT OF UNDERSTANDING.5.b.	For Thermal Evaporation - Physical Vapour Deposition (PVD):
2.E.3.f.STATEMENT OF UNDERSTANDING.5.b.1.	Ingot or coating material source composition;
2.E.3.f.STATEMENT OF UNDERSTANDING.5.b.2.	Substrate temperature;
2.E.3.f.STATEMENT OF UNDERSTANDING.5.b.3.	Reactive gas composition;
2.E.3.f.STATEMENT OF UNDERSTANDING.5.b.4.	Ingot feed rate or material vaporisation rate; 
2.E.3.f.STATEMENT OF UNDERSTANDING.5.b.5.	Time-temperature-pressure cycles;
2.E.3.f.STATEMENT OF UNDERSTANDING.5.b.6.	Beam and part manipulation;
2.E.3.f.STATEMENT OF UNDERSTANDING.5.b.7.	"Laser" parameters, as follows: 
2.E.3.f.STATEMENT OF UNDERSTANDING.5.b.7.a.	Wave length; 
2.E.3.f.STATEMENT OF UNDERSTANDING.5.b.7.b.	Power density; 
2.E.3.f.STATEMENT OF UNDERSTANDING.5.b.7.c.	Pulse length; 
2.E.3.f.STATEMENT OF UNDERSTANDING.5.b.7.d.	Repetition ratio; 
2.E.3.f.STATEMENT OF UNDERSTANDING.5.b.7.e.	Source; 
2.E.3.f.STATEMENT OF UNDERSTANDING.5.c.	For Pack Cementation:
2.E.3.f.STATEMENT OF UNDERSTANDING.5.c.1.	Pack composition and formulation;
2.E.3.f.STATEMENT OF UNDERSTANDING.5.c.2.	Carrier gas composition;
2.E.3.f.STATEMENT OF UNDERSTANDING.5.c.3.	Time-temperature-pressure cycles;
2.E.3.f.STATEMENT OF UNDERSTANDING.5.d.	For Plasma Spraying:
2.E.3.f.STATEMENT OF UNDERSTANDING.5.d.1.	Powder composition, preparation and size distributions;
2.E.3.f.STATEMENT OF UNDERSTANDING.5.d.2.	Feed gas composition and parameters;
2.E.3.f.STATEMENT OF UNDERSTANDING.5.d.3.	Substrate temperature;
2.E.3.f.STATEMENT OF UNDERSTANDING.5.d.4.	Gun power parameters;
2.E.3.f.STATEMENT OF UNDERSTANDING.5.d.5.	Spray distance;
2.E.3.f.STATEMENT OF UNDERSTANDING.5.d.6.	Spray angle;
2.E.3.f.STATEMENT OF UNDERSTANDING.5.d.7.	Cover gas composition, pressure and flow rates;
2.E.3.f.STATEMENT OF UNDERSTANDING.5.d.8.	Gun control and part manipulation;
2.E.3.f.STATEMENT OF UNDERSTANDING.5.e.	For Sputter Deposition:
2.E.3.f.STATEMENT OF UNDERSTANDING.5.e.1.	Target composition and fabrication;
2.E.3.f.STATEMENT OF UNDERSTANDING.5.e.2.	Geometrical positioning of part and target;
2.E.3.f.STATEMENT OF UNDERSTANDING.5.e.3.	Reactive gas composition;
2.E.3.f.STATEMENT OF UNDERSTANDING.5.e.4.	Electrical bias;
2.E.3.f.STATEMENT OF UNDERSTANDING.5.e.5.	Time-temperature-pressure cycles;
2.E.3.f.STATEMENT OF UNDERSTANDING.5.e.6.	Triode power;
2.E.3.f.STATEMENT OF UNDERSTANDING.5.e.7.	Part manipulation;
2.E.3.f.STATEMENT OF UNDERSTANDING.5.f.	For Ion Implantation:
2.E.3.f.STATEMENT OF UNDERSTANDING.5.f.1.	Beam control and part manipulation;
2.E.3.f.STATEMENT OF UNDERSTANDING.5.f.2.	Ion source design details;
2.E.3.f.STATEMENT OF UNDERSTANDING.5.f.3.	Control techniques for ion beam and deposition rate parameters;
2.E.3.f.STATEMENT OF UNDERSTANDING.5.f.4.	Time-temperature-pressure cycles;
2.E.3.f.STATEMENT OF UNDERSTANDING.5.g.	For Ion Plating: 
2.E.3.f.STATEMENT OF UNDERSTANDING.5.g.1.	Beam control and part manipulation; 
2.E.3.f.STATEMENT OF UNDERSTANDING.5.g.2.	Ion source design details; 
2.E.3.f.STATEMENT OF UNDERSTANDING.5.g.3.	Control techniques for ion beam and deposition rate parameters;
2.E.3.f.STATEMENT OF UNDERSTANDING.5.g.4.	Time-temperature-pressure cycles;
2.E.3.f.STATEMENT OF UNDERSTANDING.5.g.5.	Coating material feed rate and vaporisation rate;
2.E.3.f.STATEMENT OF UNDERSTANDING.5.g.6.	Substrate temperature;
2.E.3.f.STATEMENT OF UNDERSTANDING.5.g.7.	Substrate bias parameters.
